rec_id,q_gram_set
96d9632f363564cc3032521409cf22a852f2032eec099ed5967c0d000cec607a,"{'oh', 'jo', 'hn'}"
0522a55e2d5f0993a3d66d28864b2862a7218a75ea7968b075333434404485c3,"{'or', 'eo', 'rg', 'ge'}"
d38681074467c0bc147b17a9a12b9efa8cc10bcf545f5b0bccccf5a93c4a2b79,"{'om', 'as', 'th', 'ho', 'ma'}"
befa156f0283eb0062beb9b86e16a413e1cf8c5135e5518d5c4fa321ce0c7b6b,"{'ur', 'ar', 'th', 'rt', 'hu'}"
119c9ae6f9ca741bd0a76f87fba0b22cab5413187afb2906aa2875c38e213603,"{'am', 'es', 'ja', 'me'}"
10fe82adb964fa73c3c60be251181c421193f56ae01ba671974d82365a08a410,"{'rl', 'le', 'ar', 'es', 'ch', 'ha'}"
2c58b83b1c66829ff6068991644b793f6369e365b87f790eae4a40ecd9718000,"{'re', 'de', 'ck', 'er', 'ed', 'fr', 'ri', 'ic'}"
72d0166b5707d129dc321e56692fe454c034552ee9e2b38f5a7f1c1306a632ea,"{'al', 'lb', 'be', 'rt', 'er'}"
61a3c22a310f6b6328941b54bab34d646e3ccd15a67504c7403ddef7d80f0e43,"{'st', 'rn', 'ne', 'es', 'er'}"
7b2b547ab5377906300c69cd065aa48ecc143ddcd9501ef2b7c6408cc3592ac3,"{'fr', 're', 'al', 'lf', 'ed'}"
2632ec06e2c2e54a52245ffd9e5af1cb65b21a4cdb031d4e11383719cf8c0ca4,"{'rd', 'ar', 'dw', 'wa', 'ed'}"
7ee8118150e0ce023742beba6f10bf23aabbf0bc2c182f36fd1a6753cd21b4c6,"{'ph', 'os', 'se', 'ep', 'jo'}"
0a348ac4d94f9da05a7866a206ed7936ad3f5504e659ac1c814e63adfcebff81,"{'ld', 'ro', 'ar', 'ol', 'ha'}"
4007d46292298e83da10d0763d95d5139fe0c157148d0587aa912170414ccba6,"{'ro', 'ob', 'be', 'rt', 'er'}"
77646f5a4f3166637627abe998e7a1470fe72d8b430f067dafa86263f1f23f94,"{'fr', 'ra', 'an', 'nk'}"
927a3aed189d610b2e151c4208913b3ed0cb38f6be613756819b1513c8924d7f,"{'he', 'ry', 'nr', 'en'}"
df46219531cb5d522d0845901978dccfa286a5b0437f4f9cd4e485064f6b632c,"{'ar', 'ry', 'rr', 'ha'}"
4748d4c802a775e8db9a23ec58f0986cacdc5d2d3356d22c490a7d22331ff133,"{'te', 'al', 'er', 'wa', 'lt'}"
be37e56f6f6a7dfb95952a780b9be2b3b465e468c56307c143a745c3a7c681e0,"{'ld', 'na', 're', 'al', 'eg', 'in', 'gi'}"
f65cbc6391f5a2834478811d9c811b83f51fda4fc030462b9c08776fb6d78751,"{'rb', 'he', 'be', 'rt', 'er'}"
b76aefa8fe4304f650962fb4af77b4db4b13d34ac9615391126027232ec16822,"{'na', 'eo', 'on', 'le', 'rd', 'ar'}"
c604dabc9591840978d2585238a908898b22e3337b207dc722ae208eb204c291,"{'st', 'ey', 'an', 'le', 'ta', 'nl'}"
104f24e15f4dba76498bb256593dc6d95876d881ee2201ff369225b6d51e8b45,"{'sl', 'le', 'es', 'ie', 'li'}"
61bffea9215f65164ad18b45aff1436c0c165d0d5dd2087ef61b4232ba6d2c1a,"{'ri', 'rd', 'ic', 'ar', 'ch', 'ha'}"
9376a4f3fdd56078495abf7c0c58b0f5c0f36e9298e2d406690fc6bb7a908098,"{'yr', 'il', 'cy', 'ri'}"
e560f6cb8384862b7c6768ebd40f2d8f4fa52b3ab407398a463a8b7b04297b2d,"{'id', 'si', 'ey', 'ne', 'dn'}"
fe384adb7e67d54e973c65b0174e3de5d8288e483958da561d39c98ddb1cc5d4,"{'fr', 'ra', 'an', 'nc', 'ci', 'is'}"
715773c66c9347749f5921bdce502d7de7081e19d07c7b40a70f19665700d919,"{'pe', 'rc', 'cy', 'er'}"
07d046d5fac12b3f82daf5035b9aae86db5adc8275ebfbf05ec83005a4a8ba3e,"{'id', 'av', 'vi', 'da'}"
65aa4cb4c1a995486dcc932c3a11ab0cf92d36207f9eaf0cbc6409f67a661f57,"{'fr', 're', 'lf', 'il', 'wi', 'ed'}"
90cc33a41b541af2c1964e3e10a46088cbdedf63031efaa35d588a698c91193f,"{'ue', 'sa', 'el', 'mu', 'am'}"
8548d75fcb3a2a275a1ba868a36f6a26e528f16b07aa7d8006616ad090a9b349,"{'or', 'an', 'no', 'rm', 'ma'}"
9e4e5ff25a8f5c65363b8f54e10727544099de8b7c95d297e6dcff126763f982,"{'ec', 'il', 'ce', 'ci'}"
6f9edcd3408cbda14a837e6a44fc5b7f64ccc9a2477c1498fcb13c777ffb9605,"{'ic', 'ri', 'er'}"
e8032604447171cc6e65cfb98ff38ccbf9f5f9113e0cb63060533ed86ad0032e,"{'ey', 'ne', 'yd', 'dn', 'sy'}"
330f5de75f031a5cbab6916f83c6994bd2a25398dc24b76d9d33aa65b03c50c7,"{'or', 'ra', 'ce', 'ac', 'ho'}"
d0cfc2e5319b82cdc71a33873e826c93d7ee11363f8ac91c4fa3a2cfcd2286e5,"{'fr', 're', 'ed'}"
31611159e7e6ff7843ea4627745e89225fc866621cfcfdbd40871af4413747cc,"{'ck', 'ja', 'ac'}"
3dfbf1fbdbf9d2eb39e14955dcfd073792ebed8c9b97995210e70c4059be13c9,"{'wi', 'in', 'dw', 'ed'}"
dcd79ebce907b98a97ac818318c9e467731e44068412590ea34280dcadcf02d9,"{'ld', 'ro', 'na', 'al', 'on'}"
9f2a08fde416cef2158943241fee1dd8f3cca092afddef1d53ae82318e05f63e,"{'xa', 'al', 'le', 'nd', 'de', 'er', 'an', 'ex'}"
5359eec13763f1d5c49ee396739944e5bc4ca118ad681a0762f7da79e825edd6,"{'ff', 'cl', 'or', 'if', 'fo', 'rd', 'li'}"
23ddda4810068cc44360dffd31b6c5a9ad13fb9e6a69c9354a5d1b07f1b9843f,"{'tr', 'ri', 'at', 'ic', 'ck', 'pa'}"
dc814a25c3ae905ad4ba942072b101599f8e7c3617c79e3b10e9c20ca8952339,"{'na', 'rn', 'rd', 'be', 'ar', 'er'}"
34550715062af006ac4fab288de67ecb44793c3a05c475227241535f6ef7a81b,"{'ae', 'el', 'ic', 'mi', 'ch', 'ha'}"
99bde068af2d49ed7fc8b8fa79abe13a6059e0db320bb73459fd96624bb4b33f,"{'or', 'ct', 'to', 'ic', 'vi'}"
b026bccaaff344acbd5c046751242877fc311966541bc4409bac93f0a2a468fc,"{'hi', 'ph', 'ip', 'il', 'li'}"
8849853b957fe153b7056d0e7d65f99fb21070daf5122ddf1d7c942d4643c33d,"{'dg', 'ga', 'ar', 'ed'}"
4d78e62d899a4d7beea1ce3a7075e63336a7c6004828c4e318f9bfa18af222c1,"{'au', 'ce', 'ur', 'ri', 'ic', 'ma'}"
4138cfbc5d36f31e8ae09ef4044bb88c0c9c6f289a6a1c27b335a99d1d8dc86f,"{'ld', 'na', 'al', 'on', 'do'}"
997d365120369bd47e6b01b4f595a2c023502eec97c3247ff72712a0ee944c6e,"{'ke', 'ne', 'nn', 'et', 'th', 'en'}"
8ee9938e4b960a50540f1ca9299facc5a5f342d0848b402c322fd14592e4bc32,"{'nj', 'ja', 'en', 'am', 'be', 'in', 'mi'}"
a0ec927b1044a5e945fbd9cf4370b4be1bc1ebc93bca51bc37f02a8814196bde,"{'ug', 'gl', 'as', 'la', 'ou', 'do'}"
c93f1e400f26708f98cb19d936620da35eec8f72e57f9eec01c1afd64efa1583,"{'gh', 'ug', 'hu'}"
962314b7ef2f70007380c5b6700daedc6343ac6938e8241a44713e721993c0ac,"{'re', 'aw', 'ce', 'nc', 'wr', 'la', 'en'}"
bd3dae5fb91f88a4f0978222dfd58f59a124257cb081486387cbae9df11fb879,"{'an', 'el', 'ni', 'ie', 'da'}"
381d9ef64788ee4d21d61faed2e39c72d862b92d58689a9d9c991d38c6b4b315,"{'fr', 'ff', 'of', 're', 'ey', 'eo', 'ge'}"
026ad9b14a7453b7488daa0c6acbc258b1506f52c441c7c465474c1a564394ff,"{'pe', 'et', 'te', 'er'}"
f4abf6f8d15ddb734572a34df384045dcff329441c7c406a13ca4637b7e52e1e,"{'hi', 'ld', 'al', 'ib', 'ar', 'rc', 'ch', 'ba'}"
9d0c52ae7023170cf8437d8683aeee910389238e7792b12c08f04f15c305ca9a,"{'st', 'op', 'to', 'is', 'hr', 'ch', 'er', 'ph', 'ri', 'he'}"
db42328112177c2d6f2f6ca7f33c8e81084b8ff3e14202254137e22673bce2c8,"{'la', 'al', 'an'}"
e1608f75c5d7813f3d4031cb30bfb786507d98137538ff8e128a6ff74e84e643,"{'om', 'to'}"
49b191cf813fa62a2a280ca07b6812df23be3f3c2437604e7fcd2dee72f1f527,"{'lb', 'be', 'il', 'rt', 'er', 'gi'}"
59b494e72142ed8dce6dcae1774e2188787e149560742391fb78afdadd3624d8,"{'ub', 'be', 'rt', 'er', 'hu'}"
bf65266d0d8df3ad5d1b367f578e684433c4556c37548b6f5f37ce74923ee9c5,"{'ph', 'ra', 'al', 'lp'}"
267eed33dc459584a996e2cb0613d1d5cfa3c64ad6d97558f477ff74a2e5f71e,"{'st', 'te', 'ph', 'he', 'ep', 'en'}"
21aafe2f10e974a8dd7c1533b954116ff776f572fda8abf523641f33bd8e42bc,"{'ld', 'ra', 'al', 'er', 'ge'}"
6e55ee918da364900705bf2ebd7aaf273bc4743446d0bae11217d022115e7915,"{'ti', 'be', 'ie', 'rt', 'er'}"
6c725c744767e0d745901fb74154ffd59924dce57f1cb2d0137e368606bdfb62,"{'ew', 'is', 'wi', 'le'}"
d979885447a413abb6d606a5d0f45c3b7809e6fde2c83f0df3426f1fc9bfed97,"{'dr', 're', 'an', 'nd', 'ew'}"
d43b291285e6d57c077af0bff7407d6f2a70ef758a41f618150ed22f1ff85362,"{'iv', 'va', 'al', 'ci', 'pe', 'rc', 'er'}"
0c7fb88c430897c6307037f3251e855a91b708fe02e83da6c58cc646bffecdfd,"{'ra', 'on', 'nd', 'mo', 'ym', 'ay'}"
3006508c7cd78b46c20ebcb92630b43d7d1d816493e8bac9c51415c95abc93b0,"{'ra', 'tr', 'am', 'be', 'rt', 'er'}"
1e84855630913c012d541a4720d243e6d07e8131ae47ebc69c5b0e11c36e6eee,"{'ld', 'rn', 'no', 'ar', 'ol'}"
6fc6a55db549ad36c51e42dbc67601522d25e702cd3e6af194e03b66ccb157f3,"{'un', 'mu', 'dm', 'nd', 'ed'}"
a7a8a3d9836180a0cdfd51c30239a40f087c9713e7d759b8b565c9e559ad806a,"{'cl', 're', 'ce', 'nc', 'la', 'ar', 'en'}"
5f16795c54ab7de419edf8e9c6da6065f7dd448f122fcbc9815c67daa566ba8e,"{'ui', 'is', 'ou', 'lo'}"
e48ab497fec901124d76fde10fbf7fda89b945a84ba99e8b9cf8de590f211a1b,"{'iv', 'or', 'vo'}"
9f45aa99ad9ab5c822155c4a44f9d64d010faeaea76468a939d2d4f046e340bd,"{'ro', 'an', 'nd', 'la', 'ol'}"
6201eb4dccc956cc4fa3a78dca0c2888177ec52efd48f125df214f046eb43138,"{'ar', 'rk', 'ma'}"
9fe93417853739c1c18c2e8b051860d1a317824f1aa91304d16f3fe832486f7a,"{'or', 'go', 'on', 'rd', 'do'}"
c857d09db23e6822e3600bc06ad8d58f92ed62bc8efd81c753f77048662cb97d,"{'cl', 'de', 'ud', 'la', 'au'}"
68be7550846ecd878947b4eb0ac13d3cca3cf6c4940c94d90163e0a15e947203,"{'tt', 'at', 'he', 'th', 'ew', 'ma'}"
b6f8d434a847fb0f0c1a8d9b936b8ca952e224f205a55f4ba9b2c20f88fdc9e7,"{'ti', 'in', 'ar', 'rt', 'ma'}"
7b443e7a5d6f7b0b3b700b540cd46338be7808dfc815acf83a9e80111c4bdd97,"{'ne', 'el', 'on', 'io', 'li'}"
bb647e29b34334079a9d553184f6cb58abd93182f8a4f7e95caf4bea0c2b2171,"{'ni', 'nn', 'de', 'is', 'en'}"
ae74f72d212fb9871302a2459aeaf7b20bc2f792e4852be648a7d4e63967d9b1,"{'va', 'an', 'ev'}"
51d3ba50d3e136bc03ca019303427831f4f49d88b775b4a529685533c8ce0e65,"{'ec', 'or', 'ct', 'to', 'he'}"
58f4abdca6bcb7c8c47c42c2d33d8679cb82d75713e00b70984a902a1b447d66,"{'ec', 'al', 'le'}"
502913bfdd49eab564282dff101e6d167321237eeec66eedb2a438ed80fdeaa0,"{'an', 'on', 'nt', 'ny', 'th', 'ho'}"
5fd726bc56c3e86906cba8814a9b97d97f2ab209c48d2441ca5ac9e52b09e630,"{'la', 'al', 'll', 'an'}"
7dfef7aed2105b7eceb4d34e1ad84fdad4693bd5de041e1b47079efeb6001a83,"{'iv', 've', 'li', 'ol', 'er'}"
b8746e3fc5eb4f3db7a73acbcb68c250d73d998ac6a12933365aff9bcb53028d,"{'en', 'we', 'ow'}"
1934d8bfaed57f11f8af9175540fce4b2ff0492e6b258e73ae2f16bc8c339d4c,"{'rd', 'ow', 'ar', 'ho', 'wa'}"
4c1001c251c1c923bca00789638afb17e908d526bf3e9975407c65d2b03f4b10,"{'in', 'co', 'ol', 'li'}"
21c584f66fecc9174a94f4b7f8c0978a43f8e77998ba9901ff8e6d55a91ef80a,"{'or', 'ri', 'mo', 'is', 'rr'}"
79aef731091472c4395b63b32b2c00c919b9d9538dc1c990381cc8c4609fe9f8,"{'is', 'de', 'ni', 'en'}"
fb1f4423452af270e30212dbc81a51aa39588ee5f742b177d4834f4c2dfd0531,"{'re', 'ce', 'ur', 'nc', 'la', 'en', 'au'}"
3f2e23b2ee1991da34bdc689a44a229d1b64f3b617d6569ffb6e19f760acfded,"{'je', 'es', 'se', 'ss'}"
d0784c6b1785dcd474688d46b1fe99792ff66f6b56bebf26dda0c08516bac22e,"{'ia', 'll', 'am', 'il', 'wi', 'li'}"
a59b1da0739609cfd823420304bebb268693eade4ff3e1269fce24548c301240,"{'ro', 'oy'}"
65c3f75641b22925c737ca657b126cd68c39e423349d43031cf9a3b9a18cee1f,"{'ce', 'nc', 'nt', 'vi', 'in', 'en'}"
579651b0d574971040b531b66efbc5e607b677aa0d2633ec9eca376020ad8b3d,"{'si', 'il', 'ba', 'as'}"
0357513deb903a056e74a7e475247fc1ffe31d8be4c1d4a31f58dd47ae484100,"{'pa', 'ul', 'au'}"
5d19115b2691291d373573fb347c57d65882836bcda5e3d8d6768e59a6311904,"{'hi', 'ph', 'ip', 'il', 'll', 'li'}"
eeac7816005ff0bde67004b95a5563844d60901f3db3baaafc62ac4e850e08de,"{'or', 're', 'ev', 'tr', 'vo'}"
1b6d6d8b061bfd142b6f12e7d1bc1dc3f68ce57a1b2e4b5dce1f7d376ae2161d,"{'de', 'ek', 'er', 're'}"
f45061436f0ba676be99f099299eb082df9a0cac60b1bbaa292d5efeb16db73c,"{'sm', 'on', 'de', 'nd', 'mo', 'es'}"
f3fe5a51a2be8c6dc715028858fcba82ee021be7687e4f95b45086b8ffb1a23f,"{'br', 'ia', 'an', 'ri'}"
d5a71329e19621cd0ec50409bfdbd453be038c5aeab1ae5c1613a11e93344b4e,"{'te', 're', 'ce', 'nc', 'en', 'er'}"
2af4c646c9969d2260615b414f63ca1c909c225d482cff1ff5261b3bd1bce770,"{'ri', 'de', 'ck', 'rr', 'er', 'ic'}"
b54a95127a4b573f41e335fdbd339dcc2208fbfb1ae0b6fab7599d6e2d6ec754,"{'ia', 'an'}"
a4e463d7dec930ea7f5a7d92fc3b798a167c7c206438739d4c82d96d5ebf2cfe,"{'ke', 'ei', 'th', 'it'}"
863498dfa3f35f634f532b3cab89b0f8b6baaf9a2a94722c52ca2ef44377efc2,"{'oh', 'mm', 'me', 'am', 'mo', 'ed', 'ha'}"
fa7c171ac94aac19ab64b4e84469f6956f9d89fe62fdf657b9323f34f83eee44,"{'ra', 'am', 'ah', 'gr', 'ha'}"
cd0b9452fc376fc4c35a60087b366f70d883fc901524daf1f122fbd319384f6a,"{'iv', 'an', 'va'}"
7d1daa47a549d00c204bd361cd458f16c18a97257fd56a308f15e291018e890f,"{'lm', 'al', 'ol', 'co', 'lc', 'ma'}"
5a9cea259640cac7ec4428c3d584606845c2cb0d6c353252c6487b2cc0be6653,"{'ry', 'ba', 'ar', 'rr'}"
0bcf62b62f026b799d6245fc98591b58f6428db3a828303791f135360461d4ca,"{'br', 'an', 'ry', 'ya'}"
4387134784cf3aa4245b7fcf4ac045d0a449524e98ba5dab4955ff4631e89df9,"{'ro', 'og', 'ge', 'er'}"
e5d3b05fb3d3659a41f3aeb916282b5edd5863cab50b34f4c7561f5678a156f0,"{'cl', 'iv', 've', 'li'}"
27652cad4994c0cc628413940eeb56600c86cfc35447c3c775d67610bb27aa61,"{'ab', 'bd', 'ul', 'du'}"
287782ef42356ef3d6551590f1ef0117b71d876df0f9b3eb58d088864770c74c,"{'ro', 'in', 'ob', 'bi'}"
2d8f65dd1823032650f1686443c0659e646d63907bb25ffd73383ea070bd76ec,"{'ne', 'ev', 'le', 'il', 'll', 'vi'}"
a459891617d735655dcfed3e37db66fa07f0175866ebf35f9de8ccc59c0840bb,"{'fr', 'ff', 'je', 're', 'ey', 'ef'}"
3af64261eb2be1ae51ca42681ac0ee3d813360c72696c7f0b33f3403ab3e4310,"{'ba', 'ri', 'ar', 'ie', 'rr'}"
217e277faa6097b07f6cd54639cb572773b994643555969fbed19e99e2e8348c,"{'st', 'ro', 'to', 'on', 'oy', 'ys'}"
4bbfa1f1b0462b4844b74c34fdd297aba2a82ac2355e64308578f5acf1f5e8bf,"{'il', 'ne', 'ei'}"
1f52f85774b71b2e058195d7da19946327faafd980c0b686dee20c10ca358d8e,"{'no', 'el', 'oe'}"
3dffc72a72e95ac3fb42f674a88ee9f5785075be0f4683dc7f29187268762bfa,"{'ro', 'ey', 'ne', 'dn', 'od'}"
7deead025aea61ac476bb9bb0d13b57a7306b15adea59c1f1b74e6f0abdaf7ad,"{'st', 'ua', 'ar', 'tu', 'rt'}"
85f5e10431f69bc2a14046a13aabaefc660103b6de7a84f75c4b96181d03f0b5,"{'ke', 'in', 'vi', 'ev'}"
ac104ff596d79b3a890e851b9f80fdc4c0690ea00c5bb9a28e3d80a7f680cad6,"{'ni', 'ig', 'ge', 'el'}"
c23ad6f18412014673b2d04794ca038ef6767fe94afe408dffb775362fe07e68,"{'dr', 'ia', 'an', 'ri', 'ad'}"
a6b70a8a5074fc12ed70d61d05fffa30a5bec120ed140cf009b8a6302328360b,"{'ch', 'as', 'la', 'ni', 'ol', 'ho', 'ic'}"
193d3043e029a9f9fbac4f4aaad437edc2c5837719c5cc5f49939573baf78760,"{'ti', 'hy', 'mo', 'th', 'im', 'ot'}"
4e19271e616e620ba8e69c61f631b710413eaf52ed90764a43b09f66d72745c3,"{'el', 'lv', 'me', 'yn', 'vy'}"
d93feaf8c84752d0b9b2fea5f92c86f1b95357f5cb18ba59121fe08bcb4c0b16,"{'te', 'ry', 'rr', 'er'}"
17fc19d5d0ffa46dbe6a1c7c57e969aa6d5760544d96d5f2b0e96a1f66c7ea4b,"{'br', 'uc', 'ru', 'ce'}"
21dfc18dd04cd6a356e2f1e36e8285bc060a5d589d3ac707e56ac9654903b589,"{'ar', 'ry', 'ga'}"
e9e326d5f3b4741fe5967b5f9f3997e6275331ba18567ef9ef9e0e3a00e78371,"{'on', 'to', 'ny'}"
c7c084318b6f1bece6f74ffce1ea53596070345272dee8040037497c7d4cbffe,"{'st', 'te', 've', 'ev', 'en'}"
628612b803c647a7de70f0306c6bbc489d8b75e6ffef150b70a1553a5a7abbeb,"{'na', 'an', 'on', 'th', 'at', 'jo', 'ha'}"
0a5d17d3b19f82f8340d3977609aa9e86b4ad8b9bd71bd9eced9271f1d5b2e4a,"{'si', 'mo', 'on', 'im'}"
73ecb4b9d82c620a68d517119881d21eaaf808307da44ea47836893e551f9d51,"{'je', 're', 'em', 'my', 'er'}"
7ec1e185943e985ef632fc67ba6c6442aa7cf4ad3a73294daceea5a385027815,"{'yn', 'ty', 'ar', 'rt', 'ma'}"
1763517219d2d492f2b40914cd2a8185e643da55f0bcbcf001d0166568ba20f1,"{'ra', 'er', 'rd', 'ar', 'ge'}"
3c3d59eef3ccd862ab27fbbbee31de43eee1c68a2ee4f3c8f265efb622532c25,"{'ar', 'ry', 'rr', 'ga'}"
4e04d109a3a7a0460ad2dfd95a4f0faa145f3249bee9f371f8204d16c01d4921,"{'oh', 'mm', 'am', 'mo', 'ma', 'ad', 'ha'}"
a018ae7f594651fa2fd9ebb2be6a655c28436dfe8984d71aa1e819d92ff83ae8,"{'re', 'et', 'ar', 'th', 'ga'}"
575e500ddb529cc2e5b14dd6e7feb389a8b6e0d7c2b162b6bf31831c64d23592,"{'oh', 'me', 'am', 'mo', 'ed', 'ha'}"
fc4fe1af2b46813efc38e648f02a24edc639c0ae14d0214fec1335445728c383,"{'st', 'te', 'ar', 'rt', 'ew', 'wa'}"
0d05845a31cfa01390dee7a91fb7c8ee2590fcee7875fa9a80583e307f10e4f7,"{'or', 're', 'go', 'eg', 'ry', 'gr'}"
ce0fee7e61f9c74f1110f0e5940a80b4f059f189217d0c3d26bb41960d4bf597,"{'ia', 'an', 'ul', 'ju', 'li'}"
00f1169d141c596f3c4d918cda031fc0fe8077abaae478ef1e1baefe4441a597,"{'nn', 'en', 'gl', 'le'}"
2438ec1b751d071979589d45f4f5d9d9697ade8f1fb474ae21898d16f52110d4,"{'an', 'to', 'on', 'nt', 'ny'}"
2d1d92b1f4cc7fd3ef215da88c2826ab3ec2ced95b388b395b658c41b349c90e,"{'ea', 'an', 'se'}"
69bfe1e6e44821df7f8a0927bd7e61ef208fdb25deaa4353450bc3fb904abd52,"{'rl', 'ar', 'ca'}"
a982c97d452cc71fde02409d6e6a623220c882930c3c13ab7733e61bc9870b6c,"{'wa', 'ne', 'yn', 'ay'}"
91184a0dd41538c632dabb7326beb5f4e1cf5d35664a8651bcb8935f2876426d,"{'au', 'sh', 'un', 'ha'}"
f89767726a7827c6f785b40aee1ca2ade74d951d6a2d50e27cc0f0e5072a12b2,"{'ea', 'de', 'an'}"
1508b697895abf03d55c3841f59236ab92c9ba6ba89795c8337fcf392fdee8b4,"{'le', 'ee'}"
ec87d0e0735ce8d20ddf792630a066ab99a7e3370281adc2eba9c3192033ff7f,"{'el', 'ru', 'se', 'ss', 'us', 'll'}"
c157a0b0d40f9d9506c72fae584069d1692b816da16cd76c648d5761c588057a,"{'ai', 'cr', 'ra', 'ig'}"
c31a690b528b81ac710a80d6137285dbc96d2472ce04d31f444717ac72d38183,"{'rl', 'ar', 'ka'}"
27223b82963b3a8fea8429d8c46226e7060b180ba68f3914b51ccc119143ef65,"{'re', 'en', 'ar', 'rr', 'da'}"
f7f376a1fcd0d0e11a10ed1b6577c99784d3a6bbe669b1d13fae43eb64634f6e,"{'da', 'ad', 'am'}"
a48fdf8507eb98e7b05aa143a93cbad2c6a5db3e18cfd3a51b9dccb7bf364108,"{'an', 'nc', 'un', 'du', 'ca'}"
d64a079c4e07a0034e522ff62e9e7ad1d7bed52044aa2def17349908e15b46bb,"{'ra', 'ae', 'me', 'em', 'gr'}"
3379feb6ae9fed3b989470c591c5aa7ec00269580b84f1737c9e63202645e4b2,"{'gu', 'uy'}"
06b9a6eacd7a77b9361123fd19776455eb16b9c83426a1abbf514a414792b73f,"{'so', 'on', 'ja', 'as'}"
d90be14281bdc9f703f9bcf4b45ed58fce77123338df7df7fa7acdf0356bc340,"{'ai', 'in', 'ia'}"
e546cabfbd6682c1c1af2af956300910a1a20a2afcde2467807f0099ed290583,"{'in', 'av', 'vi', 'ga'}"
d16aed0a483a21d695fe5e210da62adec78c21631b5be5ff837e9fbedf2e6241,"{'om', 'ni', 'in', 'mi', 'do', 'ic'}"
